trial,fast_loading_rate,slow_loading_rate,fast_completed_clusters,slow_completed_clusters
188,0.350725081096126,0.4109367255851204,0,0
189,0.37914887915846407,0.4969129546510409,0,0
190,0.3859736760425392,0.5401550121000298,0,0
191,0.3683460065060373,0.5259054858477441,0,0
192,0.3516400802880959,0.4712191386175846,0,0
193,0.3885098854876645,0.5030435270736433,0,0
194,0.37684831207940306,0.5610217185583188,0,0
195,0.38690228015525463,0.501579977596478,0,0
196,0.3475222322091298,0.4473705313827736,0,0
197,0.37540153104087537,0.5665443404705428,0,0
198,0.36381461462342557,0.5651518708651437,0,0
199,0.37090567819131337,0.5595451338136215,0,0
