condition,time,terminal_displacement,sls_q,bound_clutches,total_traction,actin_velocity,loading_rate,phase
fast,4.32,3.528292476144527,0.12083853564837807,10,1.8849847737206353,0.8429510951443031,0.3979154522726347,loading
fast,4.34,3.532860011057947,0.10553680184340859,9,1.8719668073723739,0.8440459488454808,0.5181935181433062,loading
fast,4.36,3.5486045068276066,0.10781179238183143,9,1.8821140457956336,0.8431986719045838,0.4981086506381516,loading
fast,4.38,3.564373222698933,0.10970718042848428,9,1.8918937917779508,0.842382283499276,0.48119376926258894,loading
fast,4.4,3.580160288585482,0.11128381891872115,9,1.9013639632114603,0.8415919148022959,0.4669408390105545,loading
fast,4.42,3.5959607767875674,0.11259280750095214,9,1.9105731958947345,0.8408234772796673,0.4549232507420342,loading
fast,4.44,3.6117705509488722,0.11367705575651307,9,1.9195623312309609,0.8400735376283075,0.4447827706504093,loading
fast,4.46,3.627586139221714,0.11457259587257113,9,1.9283656654834287,0.8393392127581434,0.4362185811488395,loading
fast,4.48,3.6434046277609173,0.11530968492480055,9,1.9370119988052643,0.8386180816061146,0.42897807863928605,loading
fast,4.5,3.6592235712880807,0.11591373049039241,9,1.9455255161344276,0.8379081110842769,0.4228491457500816,loading
fast,4.5200000000000005,3.6750409179902626,0.11640606790727265,9,1.953926526902404,0.8372075938966752,0.4176536625064564,loading
fast,4.54,3.690854946455609,0.11680461295718854,9,1.9622320861849967,0.8365150963226904,0.4132420572813267,loading
fast,4.5600000000000005,3.706664212716735,0.11712440993923438,9,1.9704565162976033,0.835829414369463,0.4094887311594242,loading
fast,4.58,3.7224675057817667,0.11737809190020217,9,1.9786118447910868,0.8351495369520566,0.4062882157667147,loading
fast,4.6000000000000005,3.7382638102926933,0.11757626710096654,9,1.9867081722473183,0.8344746149749518,0.40355194673935557,loading
fast,4.62,3.754052275168723,0.11772784354150671,9,1.9947539811258692,0.8338039353690465,0.40120555442690886,loading
fast,4.64,3.7698321872753517,0.1178403014722936,9,2.0027563951099743,0.8331368992899099,0.3991865888921531,loading
fast,4.66,3.7856029493136507,0.11791992222856426,9,2.0107213968853923,0.8324730038103303,0.39744260935536957,loading
fast,4.68,3.786503647642082,0.09884526410545369,8,1.992097087926497,0.8340372711580906,0.5443418235842046,loading
fast,4.7,3.8018479567677854,0.10178955130247097,8,2.002713529686369,0.8331504778614989,0.5192640243549818,loading
